,hddsn,avg_temp_24h,uncorrectable_rd_err,erp_1m_err_cnt,maxpoh_sea,siglatencycriteria_ratio,sigharderrlocality_ratio,sigharderrcount_ratio,sigbursterrthreshold_ratio,sigsofterrrate_ratio,sigharderrrategrouping_ratio
1421,3RKWY61C,50.0,91,272.0,1478.2315972,6.7,177.5,41.0,18.4,0.0001676559,2.3333333333
1422,2MHLRHJG,30.0,0,2.0,21.3175555,0.0,0.0,0.0,0.0,1.23523e-05,0.0
1423,2MHLRHJG,29.0,0,2.0,21.3175555,0.0,0.0,0.0,0.0,1.23523e-05,0.0
1424,3GH7DJ6J,49.0,0,89.0,7505.3383472,0.1,7.375,1.3,0.2,0.0011710197,0.3333333333
1425,3GJJA44K,51.0,272,224.0,5071.5051111,28.5,14.5,0.3,2.8,0.0004529507,3.3333333332999997
1426,3RK7AJZC,51.0,5925,28.0,,,,,,,
1427,3XG9LJPU,24.0,0,,,,,,,,
1428,3XG9LJPU,25.0,0,,,,,,,,
1429,3XGE8REU,47.0,0,,,,,,,,
1430,3XGE8REU,47.0,0,,,,,,,,
1431,2MKSMLGG,27.0,0,,,,,,,,
1432,2MKSMLGG,28.0,0,,,,,,,,
1433,3FH0NRRV,27.0,0,869.0,,,,,,,
1434,3FH0NRRV,27.0,0,869.0,,,,,,,
1435,3WK61A6K,50.0,2,2.0,5003.2811388,0.1,0.0,0.0,0.0,0.0001923848,0.0
1436,3XGV58YU,23.0,0,4.0,,,,,,,
1437,3XGV58YU,23.0,0,4.0,,,,,,,
1438,3MGVGVNU,26.0,0,2.0,,,,,,,
1439,3MGVGVNU,26.0,0,2.0,,,,,,,
1440,3MGW6DXU,51.0,2775,131.0,691.7093194,9.6,379.25,28.5,9.6,0.0004688211,2.0
1441,3RKH7ENC,50.0,0,2.0,874.5371666000002,0.0,0.0,0.0,0.0,0.0002078008,0.0
1442,2MGG4ZMJ,51.0,1,4.0,,,,,,,
1443,2MJ2A18H,47.0,589,1100.0,1113.12475,0.3,45.875,1.5,16.2,0.011683087,0.3333333333
1444,3GG7NVJK,56.0,655,931.0,10273.7458055,0.3,32.75,4.3,5.6,0.0755234212,0.3333333333
1445,3GKD380K,45.0,0,4.0,4975.159375,1.2,0.0,0.0,0.0,7.07921e-05,0.0
1446,3MG9L7JU,50.0,715,100.0,3597.6595833000006,14.9,18.5,0.7,0.2,0.0003042776,6.0
1447,2NHH54PH,28.0,0,,,,,,,,
1448,2NHH54PH,28.0,0,,,,,,,,
1449,5DJLN6PP,38.0,0,304.0,54.2211666,0.1,210.0,24.2,9.6,0.46064268869999997,0.3333333333
1450,5DJLN6PP,37.0,0,304.0,54.2211666,0.1,210.0,24.2,9.6,0.46064268869999997,0.3333333333
1451,5DJV960N,26.0,0,,,,,,,,
1452,5DJV960N,27.0,0,,,,,,,,
1453,3XGKRU6U,30.0,0,,,,,,,,
1454,3XGKRU6U,30.0,0,,,,,,,,
1455,2MHG9SEH,39.0,0,,,,,,,,
1456,2MHG9SEH,37.0,0,,,,,,,,
1457,2MHGAGBH,43.0,0,,,,,,,,
1458,2MHGAGBH,40.0,0,,,,,,,,
1459,3MG315EU,45.0,24518,38.0,3288.7066388,0.2,950.125,1.1,0.2,0.7134027584999999,0.3333333333
1460,3MG315EU,24.0,24518,38.0,3288.7066388,0.2,950.125,1.1,0.2,0.7134027584999999,0.3333333333
1461,3MG3RYXU,45.0,10546,124.0,878.3368332999999,1.0,898.75,4.5,6.0,0.005467175,0.3333333333
1462,3MG3RYXU,26.0,10546,124.0,878.3368332999999,1.0,898.75,4.5,6.0,0.005467175,0.3333333333
1463,3XGHGAXU,40.0,14281,197.0,81.7434583,0.5,676.125,41.9,12.6,0.0017097745,0.3333333333
1464,3XGHGAXU,25.0,14281,197.0,81.7434583,0.5,676.125,41.9,12.6,0.0017097745,0.3333333333
1465,3FKW50HV,27.0,0,,,,,,,,
1466,3FKW50HV,27.0,0,,,,,,,,
1467,2MGEU4UH,43.0,7304,291.0,2474.6511944000003,1.0,348.125,1.2,3.6,0.00037096089999999997,0.6666666667
1468,3GJEJK0K,47.0,6435,599.0,7079.6582083,0.1,374.875,10.4,10.0,6.2570133577,0.3333333333
1469,3RGSX72C,53.0,1143,48.0,4414.8875,38.3,159.25,10.4,0.6,0.0005607493,7.6666666667
1470,3WKJ95BK,54.0,0,1295.0,56111.76358330001,0.1,0.0,0.0,2.8,0.0055404181000000005,0.0
1471,5DHKGMVN,39.0,0,,,,,,,,
1472,5DHKGMVN,37.0,0,,,,,,,,
1473,2MJKS0WG,25.0,0,,,,,,,,
1474,2MJKS0WG,25.0,0,,,,,,,,
1475,2MK9JMXG,38.0,0,,,,,,,,
1476,2MK9JMXG,37.0,0,,,,,,,,
1477,3XGY0ZWT,26.0,0,,,,,,,,
1478,3XGY0ZWT,26.0,0,,,,,,,,
1479,3RKU3YAC,51.0,0,234.0,6259.341347199999,1.0,60.5,16.0,0.8,0.00018553869999999998,0.6666666667
1480,3RKU3YAC,51.0,0,234.0,6259.341347199999,1.0,60.5,16.0,0.8,0.00018553869999999998,0.6666666667
1481,3MGV75WU,48.0,14654,110.0,1414.662,0.1,0.0,0.0,25.2,0.040981095,0.0
1482,3WK82BEK,57.0,0,1116.0,7330.3080972,0.4,0.0,0.0,4.8,0.0342409964,0.0
1483,3XGJ2ZSU,50.0,13,10.0,1569.3646111,0.2,0.0,0.0,0.0,0.0062046674,0.0
1484,3GG38GZF,56.0,0,573.0,33322.7788194,1.1,55.0,8.5,4.2,0.00027163889999999997,0.6666666667
1485,3RGUH15C,52.0,11,4.0,5033.4270277,0.6,0.0,0.0,0.0,0.0001655668,0.0
1486,3RK8S8WC,45.0,587,318.0,3615.8871388,51.9,72.625,6.7,8.2,8.57221e-05,6.666666666699999
1487,3GKJ1GKK,43.0,50,179.0,4809.7993888,2.5,119.875,23.9,0.6,0.0009974516,1.3333333333
1488,3RJ3J7RC,51.0,1480,77.0,4369.623375,2.1,80.5,0.75,54.6,0.0016331095000000002,0.6666666667
1489,3WK67YDK,46.0,0,4.0,32221.4759444,0.0,0.0,0.0,0.0,0.0001607407,0.0
